Design Code,Design Name,GenderTag,DesignCategory,height_mm,width_mm,size_prompt_note,ItemCategory,sellingPrice,Image link,Link,designPageURL,design_sizes,seo_image_path_hint
BENS0325O09,The Tarentella Oval Bangle,Female,Bangles,60.62,12.9,face_height_mm=60.62; face_width_mm=12.9,Diamond Studded,"377,776.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BENS0325O09_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-24681.png",https://www.bluestone.com/bangles/the-tarentella-oval-bangle~31547.html,https://www.bluestone.com/bangles/the-tarentella-oval-bangle~31547.html,,ProductImages/seo images/Bangles/The Tarentella Oval Bangle.png
BIAB0503R03,The Rafia Ring,Female,Rings,20.92,9.23,face_height_mm=20.92; face_width_mm=9.23,Diamond Studded,"69,246.00","https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAB0503R03_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-42032.png",https://www.bluestone.com/rings/the-rafia-ring~53638.html,https://www.bluestone.com/rings/the-rafia-ring~53638.html,,ProductImages/seo images/Rings/The Rafia Ring.png
BIAR0097R04,The Anya Ring,Female,Rings,20.57,6.28,face_height_mm=20.57; face_width_mm=6.28,Diamond Studded,"57,236.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R04_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71145.png",https://www.bluestone.com/rings/the-anya-ring~7515.html,https://www.bluestone.com/rings/the-anya-ring~7515.html,,ProductImages/seo images/Rings/The Anya Ring.png
BIAR0097R07,The Liza ring,Female,Rings,21.56,7.91,face_height_mm=21.56; face_width_mm=7.91,Diamond Studded,"82,528.00","https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R07_YAA18DIG4XXXXXXXX_ABCD00-PICS-00001-1024-64632.png",https://www.bluestone.com/rings/the-liza-ring~7623.html,https://www.bluestone.com/rings/the-liza-ring~7623.html,,ProductImages/seo images/Rings/The Liza ring.png
BIAR0097R16,The Quinn Ring,Female,Rings,21.6,7.84,face_height_mm=21.6; face_width_mm=7.84,Diamond Studded,"108,992.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R16_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-66184.png",https://www.bluestone.com/rings/the-quinn-ring~57845.html,https://www.bluestone.com/rings/the-quinn-ring~57845.html,,ProductImages/seo images/Rings/The Quinn Ring.png
BIAV0865V24,The Pervinca Charm Holder Bracelet,Female,Bracelets,177.8,4.67,"length_mm=177.8; cross_section_or_width_mm=4.67; use width for worn-scale, length as bracelet span",Gemstone Studded,"18,972.00","https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0865V24_YAA14AMETXXXXXXXX_ABCD00-PICS-00000-1024-71416.png",https://www.bluestone.com/bracelets/the-pervinca-charm-holder-bracelet~103133.html,https://www.bluestone.com/bracelets/the-pervinca-charm-holder-bracelet~103133.html,,ProductImages/seo images/Bracelets/The Pervinca Charm Holder Bracelet.png
BIAV0865V25,The Malocchio Charm Holder Bracelet,Female,Bracelets,177.8,6.36,"length_mm=177.8; cross_section_or_width_mm=6.36; use width for worn-scale, length as bracelet span",Gemstone Studded,"34,931.00","https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0865V25_YAA18BEEYXXXXXXXX_ABCD00-PICS-00000-1024-71691.png",https://www.bluestone.com/bracelets/the-malocchio-charm-holder-bracelet~95653.html,https://www.bluestone.com/bracelets/the-malocchio-charm-holder-bracelet~95653.html,,ProductImages/seo images/Bracelets/The Malocchio Charm Holder Bracelet.png
BIAV0987N78,The Ailia Evil Eye Layered Necklace,Female,Necklaces,7.45,7.45,face_height_mm=7.45; face_width_mm=7.45,Diamond Studded,"75,816.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0987N78_YAA18DIG6SYBSSYSB_ABCD00-PICS-00003-1024-121878.png",https://www.bluestone.com/necklaces/the-ailia-evil-eye-layered-necklace~116379.html,https://www.bluestone.com/necklaces/the-ailia-evil-eye-layered-necklace~116379.html,,ProductImages/seo images/Necklaces/The Ailia Evil Eye Layered Necklace.png
BIAV1005V201,The Novare Evil Eye Kids Nazariya Bracelet,Kids,Kids Bracelets,6,127,"length_mm=127.0; cross_section_or_width_mm=6.0; use width for worn-scale, length as bracelet span",Gemstone Studded,"10,298.00","https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV1005V201_YAA14BEEYXXXXXXXX_ABCD00-PICS-00000-1024-115872.png",https://www.bluestone.com/kids+bracelets/the-novare-evil-eye-kids-nazariya-bracelet~173235.html,https://www.bluestone.com/kids+bracelets/the-novare-evil-eye-kids-nazariya-bracelet~173235.html,,ProductImages/seo images/Kids Bracelets/The Novare Evil Eye Kids Nazariya Bracelet.png
BIAV1037C17,The Ruan Cuban Diamond Chain,Male,Chains,6.42,2.25,face_height_mm=6.42; face_width_mm=2.25,Diamond Studded,"574,233.00","https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV1037C17_YAA18DIG6XXXXXXXX_ABCD00-PICS-00003-1024-119354.png",https://www.bluestone.com/chains/the-ruan-cuban-diamond-chain~165221.html,https://www.bluestone.com/chains/the-ruan-cuban-diamond-chain~165221.html,,ProductImages/seo images/Chains/The Ruan Cuban Diamond Chain.png
