Design Code,Design Name,Image link,Image,ItemCategory,sellingPrice,DesignCategory,Link
BINS0780C08,The Ninetta Mangalsutra Necklace,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0780C08_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-71667.png",,Diamond Studded,"113,390.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-ninetta-mangalsutra-necklace~97026.html
BIMA0780C53,The Casma Mangalsutra,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA0780C53_YAA14DIG6XXXXXXXX_ABCD00-PICS-00004-1024-66299.png",,Diamond Studded,"72,833.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-casma-mangalsutra~93030.html
BIMA0780C29,The Yosni Mangalsutra,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA0780C29_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-56316.png",,Diamond Studded,"121,258.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-yosni-mangalsutra~81520.html
BISP0514C09,The Eirini Mangalsutra,"https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISP0514C09_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-41809.png",,Diamond Studded,"132,280.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-eirini-mangalsutra~53179.html
BISP0506C05,The Aarabhi Mangalsutra,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISP0506C05_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-38027.png",,Diamond Studded,"121,732.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-aarabhi-mangalsutra~46940.html
BIMA1081C01,The Yeijah Mangaslsutra Necklace,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA1081C01_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-111801.png",,Diamond Studded,"152,901.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-yeijah-mangaslsutra-necklace~163411.html
BVPJ0935C06,The Shubhlatika Mangalsutra Necklace,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVPJ0935C06_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-109315.png",,Diamond Studded,"145,155.00",Mangalsutra Chains,https://www.bluestone.com/mangalsutra+chains/the-shubhlatika-mangalsutra-necklace~146084.html
BENS0325O09,The Tarentella Oval Bangle,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BENS0325O09_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-24681.png",,Diamond Studded,"377,776.00",Bangles,https://www.bluestone.com/bangles/the-tarentella-oval-bangle~31547.html
BISM0003O14,The Muricelle Bangle,"https://kinclimg2.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISM0003O14_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-62802.png",,Diamond Studded,"317,405.00",Bangles,https://www.bluestone.com/bangles/the-muricelle-bangle~1001.html
BIPS0003O06,The Channing Bangle,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPS0003O06_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-21972.png",,Diamond Studded,"289,871.00",Bangles,https://www.bluestone.com/bangles/the-channing-bangle~975.html
BIDG0393O37,The Estrella Oval Bangle,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIDG0393O37_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-28014.png",,Diamond Studded,"181,872.00",Bangles,https://www.bluestone.com/bangles/the-estrella-oval-bangle~34771.html
BINK0363B03,The Skein Bangle,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINK0363B03_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-20291.png",,Diamond Studded,"256,290.00",Bangles,https://www.bluestone.com/bangles/the-skein-bangle~27491.html
BIAV0865V24,The Pervinca Charm Holder Bracelet,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0865V24_YAA14AMETXXXXXXXX_ABCD00-PICS-00000-1024-71416.png",,Gemstone Studded,"18,972.00",Bracelets,https://www.bluestone.com/bracelets/the-pervinca-charm-holder-bracelet~103133.html
BIMG0635V45,The Shining Star Bracelet,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMG0635V45_YAA18XXXXXXXXXXXX_ABCD00-PICS-00000-1024-47150.png",,Plain Gold,"24,655.00",Bracelets,https://www.bluestone.com/bracelets/the-shining-star-bracelet~63731.html
BIPO0730V39,The Kricia Charm Bracelet,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0730V39_YAA18DIG6SYEMSYBS_ABCD00-PICS-00000-1024-52474.png",,Diamond Studded,"91,240.00",Bracelets,https://www.bluestone.com/bracelets/the-kricia-charm-bracelet~75605.html
BIPO0987V31,The Tapia Chain Bracelet,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0987V31_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-79780.png",,Diamond Studded,"165,552.00",Bracelets,https://www.bluestone.com/bracelets/the-tapia-chain-bracelet~115379.html
BISL0804O13,The Pear Evil Eye Toggle Bangle,"https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISL0804O13_RAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-60786.png",,Diamond Studded,"113,030.00",Bangles,https://www.bluestone.com/bangles/the-pear-evil-eye-toggle-bangle~87037.html
