WP_ID,Title,URL,Published_Date,Indexed_Status,Impressions,Clicks,Position,Top_10_Rank,AIO_Snippet_Eligible
34286,Eid ul Fitr Happy Eid Mubarak Wishes for 2026,https://blog.bluestone.com/eid-ul-fitr-happy-eid-mubarak-wishes-2026/,"Aug 12, 2026",Pending Index,0,0,N/A,No,No
34275,Deepawali Messages in English for 2026,https://blog.bluestone.com/deepawali-message-in-english-2026/,"Aug 12, 2026",Pending Index,0,0,N/A,No,No
34264,Happy Mother’s Day Wishes for All Moms in 2026,https://blog.bluestone.com/happy-mothers-day-wishes-for-all-moms-2026/,"Aug 12, 2026",Pending Index,0,0,N/A,No,No
34253,"Ganapati Visarjan Quotes, Captions and Messages for 2026",https://blog.bluestone.com/ganapati-visarjan-quote-2026/,"Aug 12, 2026",Pending Index,0,0,N/A,No,No
34242,"Teachers Day Slogans, Wishes and Messages for 2026",https://blog.bluestone.com/teachers-day-slogan-2026/,"Aug 12, 2026",Pending Index,0,0,N/A,No,No
34231,How to Wish Eid Mubarak: Messages and Replies for 2026,https://blog.bluestone.com/how-to-wish-eid-mubarak-2026/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34220,Friendship Wishes for Best Friend: Messages for 2026,https://blog.bluestone.com/friendship-wishes-for-best-friend-2026/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34208,Happy Valentine Day Msg: Wishes for Everyone in 2027,https://blog.bluestone.com/happy-valentine-day-msg-2027/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34197,New Year Messages for a Special Someone: Wishes for 2027,https://blog.bluestone.com/new-year-messages-for-special-someone-2027/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34186,Mother’s Day Quotes from Daughter: Heartfelt Wishes for 2026,https://blog.bluestone.com/mothers-day-quotes-from-daughter-2026/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34171,Heart Touching Happy Mother’s Day Quotes and Wishes for 2026,https://blog.bluestone.com/heart-touching-happy-mothers-day-quotes-2026/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34157,"Wishing Happy Friendship Day: Quotes, Wishes and Messages for 2026",https://blog.bluestone.com/wishing-happy-friendship-day-quotes-2026/,"Aug 11, 2026",Pending Index,0,0,N/A,No,No
34146,Best Day to Propose to Your Crush in 2027: Lines and Timing Tips,https://blog.bluestone.com/best-day-to-propose-my-crush-2027/,"Aug 10, 2026",Pending Index,0,0,N/A,No,No
34100,New Year Wishes for Wife 2026: Romantic Messages and Quotes,https://blog.bluestone.com/new-year-wishes-for-wife-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34099,Teachers Day Quotes for Kids 2026: Wishes and Messages,https://blog.bluestone.com/teachers-day-quotes-for-kids-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34076,Heart Touching Valentine’s Day Quotes for Him 2027,https://blog.bluestone.com/heart-touching-valentines-day-quotes-for-him-2027/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34075,Amma Quotes 2026: Heartfelt Messages and Love Quotes,https://blog.bluestone.com/amma-quotes-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34054,Valentine Quotes for Friends 2027: Wishes and Messages,https://blog.bluestone.com/valentine-quotes-for-friends-2027/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34053,"Happy Raksha Wishes 2026: Messages, Quotes and Greetings",https://blog.bluestone.com/happy-raksha-wishes-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34030,Propose Lines for GF 2027: Romantic Messages and Proposal Quotes,https://blog.bluestone.com/propose-lines-for-gf-2027/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34029,"Bijoya Dashami Wishes 2026: Messages, Quotes and Greetings",https://blog.bluestone.com/bijoya-dashami-wishes-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34008,"New Year Shayari in English 2026: Wishes, Quotes and Messages",https://blog.bluestone.com/new-year-shayari-in-english-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
34007,Inspirational Janmashtami Quotes in English 2026: Krishna Wishes and Messages,https://blog.bluestone.com/inspirational-janmashtami-quotes-in-english-2026/,"Aug 09, 2026",Pending Index,0,0,N/A,No,No
33975,Powerful Ganesh Quotes for Life 2026: Inspirational Ganesha Messages,https://blog.bluestone.com/powerful-ganesh-quotes-life-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33974,Rakhee Messages 2026: Heartfelt Raksha Bandhan Wishes and Quotes,https://blog.bluestone.com/rakhee-messages-2026/,"Aug 07, 2026",Indexed,1,1,1,Yes,Yes
33904,Diwali Wishes in English 2 Lines 2026: Short Messages and Greetings,https://blog.bluestone.com/diwali-wishes-in-english-2-lines-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33903,"Eid Wishes in Arabic 2026: Eid Mubarak Messages, Quotes and Greetings",https://blog.bluestone.com/eid-wishes-in-arabic-2026/,"Aug 07, 2026",Indexed,3,0,57,No,No
33830,"Some Lines on Teachers Day 2026: Wishes, Quotes and Messages",https://blog.bluestone.com/some-lines-on-teachers-day-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33829,"Ramadan Mubarak Quotes 2026: Wishes, Messages and Captions",https://blog.bluestone.com/ramadan-mubarak-quotes-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33792,"How to Wish for Engagement 2026: Messages, Ideas and Replies",https://blog.bluestone.com/how-to-wish-for-engagement-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33791,Happy Children’s Day Wishes from Teachers 2027: Messages and Quotes,https://blog.bluestone.com/happy-childrens-day-wishes-from-teachers-2027/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33729,"Janmashtami Quotes in English 2026: Wishes, Captions and Status",https://blog.bluestone.com/janmashtami-quotes-english-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33728,"Diwali Well Wishes 2026: Heartfelt Messages, Greetings and Quotes",https://blog.bluestone.com/diwali-well-wishes-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33693,"Ganpati Quotes in English 2026: Wishes, Status and Captions",https://blog.bluestone.com/ganpati-quotes-in-english-2026/,"Aug 07, 2026",Indexed,62,2,7.6,Yes,Yes
33692,Special Person Happy Eid Mubarak Wishes 2026,https://blog.bluestone.com/special-person-happy-eid-mubarak-wishes-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33680,"Eid Greetings for Friends 2026: Wishes, Quotes and Messages",https://blog.bluestone.com/eid-greetings-for-friends-2026/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33666,How to Propose a Boy 2027: Cute Ideas and Proposal Lines,https://blog.bluestone.com/propose-a-boy-2027/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33642,Raksha Bandhan Captions for Instagram 2026: 100+ Rakhi Lines,https://blog.bluestone.com/raksha-bandhan-caption-for-instagram-2026/,"Aug 07, 2026",Indexed,1,0,1,Yes,Yes
33641,Proposal Lines for BF 2027: Romantic Messages and Quotes,https://blog.bluestone.com/proposal-lines-for-bf-2027/,"Aug 07, 2026",Pending Index,0,0,N/A,No,No
33614,Engagement Wishes for Brother 2026: Messages and Quotes,https://blog.bluestone.com/engagement-wishes-for-brother-2026/,"Aug 06, 2026",Pending Index,0,0,N/A,No,No
33613,Heart Touching Love Proposal Quotes 2027: Romantic Messages,https://blog.bluestone.com/heart-touching-love-proposal-quotes-2027-2/,"Aug 06, 2026",Indexed,3,0,9,Yes,Yes
