design_name,design_code,DesignCategory,GenderTag,height,width,designPageURL,design_sizes
The Valeria Rose Pendant,BIHS1145P21,Pendants,Female,21,15.1,https://www.bluestone.com/pendants/the-valeria-rose-pendant~181266.html,
The Winkoo Kids Evil Eye Bracelet,BIEK1005V227,Kids Bracelets,Kids,8,8,https://www.bluestone.com/kids+bracelets/the-winkoo-kids-evil-eye-bracelet~181193.html,
The Teshvarya Pendant,BISW1080P32,Pendants,Female,22.56,22.56,https://www.bluestone.com/pendants/the-teshvarya-pendant~173771.html,
The Thyvarne Pendant,BISW1080P28,Pendants,Female,17.5,17.5,https://www.bluestone.com/pendants/the-thyvarne-pendant~173761.html,
The Novare Evil Eye Kids Nazariya Bracelet,BIAV1005V201,Kids Bracelets,Kids,6,127,https://www.bluestone.com/kids+bracelets/the-novare-evil-eye-kids-nazariya-bracelet~173235.html,
The Ruan Cuban Diamond Chain,BIAV1037C17,Chains,Male,6.42,2.25,https://www.bluestone.com/chains/the-ruan-cuban-diamond-chain~165221.html,
The Thaloria Pendant,BISW1080P131,Pendants,Female,36.91,25.28,https://www.bluestone.com/pendants/the-thaloria-pendant~165041.html,
The Kilxer Link Bracelet For Him,BISL1006V249,Bracelets,Male,13.2,12.63,https://www.bluestone.com/bracelets/the-kilxer-link-bracelet-for-him~163433.html,
The Volara Bracelet For Him,BISL1006V287,Bracelets,Male,13.2,12.63,https://www.bluestone.com/bracelets/the-volara-bracelet-for-him~163432.html,
The Yeijah Mangaslsutra Necklace,BIMA1081C01,Mangalsutra Chains,Female,11.9,11.9,https://www.bluestone.com/mangalsutra+chains/the-yeijah-mangaslsutra-necklace~163411.html,
The Lumeelle Cluster Pendant,BISW1080P133,Pendants,Female,32.66,32.66,https://www.bluestone.com/pendants/the-lumeelle-cluster-pendant~162509.html,
The Sarvanya Pendant,BISW1080P132,Pendants,Female,33.35,23.79,https://www.bluestone.com/pendants/the-sarvanya-pendant~156927.html,
The Xarvithis Pendant,BISW1080P246,Pendants,Female,20.5,14.3,https://www.bluestone.com/pendants/the-xarvithis-pendant~156920.html,
